Alcohol,'Malic acid',Ash,'Alcalinity of ash',Magnesium,'Total phenols',Flavanoids,'Nonflavanoid phenols',Proanthocyanins,'Color intensity',Hue,OD280/OD015,Proline,class
2,0,1,0,1,1,1,0,1,1,1,2,1,1
1,0,1,0,0,1,1,0,0,0,1,2,1,1
1,0,2,1,1,1,1,0,2,1,1,2,1,1
2,0,1,0,1,2,1,0,1,1,0,2,2,1
1,1,2,1,1,1,1,1,1,0,1,1,0,1
2,0,1,0,1,2,1,1,1,1,1,1,2,1
2,0,1,0,0,1,1,0,1,1,1,2,2,1
2,0,2,1,1,1,1,1,0,0,1,2,2,1
2,0,1,0,0,1,1,0,1,1,1,1,1,1
2,0,1,0,0,2,1,0,1,1,1,2,1,1
2,0,1,1,1,2,1,0,1,1,1,2,2,1
2,0,1,0,0,1,1,0,1,0,1,1,2,1
2,0,1,0,0,1,1,0,1,1,1,1,2,1
2,0,1,0,0,2,2,1,2,1,1,1,1,1
2,0,1,0,1,2,2,0,2,1,1,1,2,1
2,0,2,1,1,1,1,0,0,1,1,1,2,1
2,0,2,1,1,1,1,1,1,1,1,1,2,1
2,0,2,1,1,2,1,1,1,1,1,1,1,1
2,0,1,0,1,2,2,1,1,1,1,1,2,1
2,1,1,0,1,1,1,0,1,0,1,2,1,1
2,0,1,0,1,2,1,0,1,1,1,2,1,1
1,1,2,1,1,1,1,0,1,0,1,2,1,1
2,0,1,0,1,1,1,0,1,0,1,2,1,1
1,0,1,1,0,1,1,0,0,0,1,2,1,1
1,0,2,1,0,1,1,0,1,0,1,2,1,1
1,0,2,2,1,1,1,1,1,0,1,2,1,1
1,0,2,0,0,1,1,1,0,0,1,2,1,1
1,0,1,0,0,1,1,0,0,0,1,1,2,1
2,0,2,1,1,2,1,1,1,0,1,2,1,1
2,0,1,0,0,1,1,0,1,0,1,2,1,1
2,0,2,1,1,2,1,0,1,1,1,1,2,1
2,0,1,1,1,1,1,0,1,1,1,1,2,1
2,0,1,1,1,1,1,1,1,0,1,1,1,1
2,0,2,1,2,2,1,2,0,1,1,1,2,1
1,0,2,1,1,1,1,0,1,0,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,2,1,1
1,0,2,0,1,1,1,1,0,0,1,1,1,1
1,0,1,1,0,1,1,0,0,0,1,1,1,1
1,0,1,0,0,1,1,0,0,0,1,1,1,1
2,1,1,0,1,2,1,0,1,0,1,2,1,1
1,0,1,0,1,2,1,1,1,1,1,2,1,1
1,1,1,1,0,1,1,0,1,0,1,1,1,1
2,0,1,0,1,2,2,0,1,1,0,2,1,1
1,1,1,1,1,1,1,1,1,0,0,1,0,1
1,0,1,0,1,2,1,0,1,0,0,2,1,1
2,1,1,1,1,1,1,0,0,1,0,2,1,1
2,1,1,0,1,2,1,0,1,0,1,2,1,1
2,0,1,0,1,2,1,0,1,1,1,2,1,1
2,0,1,1,1,1,1,1,1,1,1,1,1,1
2,0,1,1,1,1,2,1,1,1,1,2,2,1
1,0,1,0,0,1,1,0,2,1,1,1,1,1
2,0,1,1,0,1,1,0,1,1,1,2,2,1
2,0,1,0,1,2,2,1,1,1,1,2,1,1
2,0,2,1,1,2,1,1,1,1,1,1,2,1
2,0,1,0,1,1,1,0,1,1,1,2,1,1
1,0,1,1,1,2,1,0,1,1,1,1,1,1
2,0,1,0,1,2,1,0,1,1,1,2,1,1
1,0,2,0,1,2,1,1,1,1,1,1,2,1
2,0,1,0,1,2,2,0,1,1,1,1,2,1
1,0,0,0,0,1,0,0,0,0,1,0,0,2
1,0,1,0,1,1,0,2,0,0,1,0,0,2
1,0,1,0,0,1,0,2,0,1,1,0,0,2
2,0,0,1,0,1,0,1,0,0,1,1,0,2
1,0,1,1,0,2,1,0,1,0,1,1,0,2
0,0,1,1,1,0,0,1,0,0,2,1,0,2
1,0,1,1,0,1,1,1,1,0,1,1,0,2
1,0,0,0,0,2,1,0,1,1,1,2,0,2
1,0,0,1,0,1,1,0,0,0,1,2,0,2
1,0,1,0,1,1,0,2,0,0,1,0,1,2
0,0,0,0,2,0,0,0,1,0,1,1,0,2
0,0,1,1,1,0,0,1,0,0,1,0,1,2
2,0,2,2,0,2,1,0,1,0,2,2,0,2
1,0,1,2,0,0,0,0,0,0,1,1,0,2
1,0,1,2,2,2,1,0,1,0,2,2,1,2
0,0,1,1,1,2,1,0,1,0,1,2,1,2
